"ID";"REGION_ID";"REGION_CODE";"REGION_NAME";"REGION_ENAME";"REGION_TYPE";"PARENT_REGION_ID";"HOT_CITY";"IS_DELETED";"VERSION";"CREATE_BY";"CREATE_TIME";"UPDATE_BY";"UPDATE_TIME";"STATUS"
"1";"110100";"110100";"北京市";"Bei Jing Shi ";"10001002";"110000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"2";"110101";"110101";"东城区";"Dong Cheng Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"3";"110102";"110102";"西城区";"Xi Cheng Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"4";"220104";"220104";"朝阳区";"Chao Yang Qu ";"10001003";"220100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"5";"110106";"110106";"丰台区";"Feng Tai Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"6";"110107";"110107";"石景山区";"Shi Jing Shan Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"7";"110108";"110108";"海淀区";"Hai Dian Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"8";"110109";"110109";"门头沟区";"Men Tou Gou Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"9";"110111";"110111";"房山区";"Fang Shan Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"11";"110113";"110113";"顺义区";"Shun Yi Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"12";"110114";"110114";"昌平区";"Chang Ping Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"13";"110115";"110115";"大兴区";"Da Xing Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
